median(genes);median(umi);median(score_genetic);-log10(p.val_genetic);-log10(p.val.adj_genetic);median(score_drugs);-log10(p.val_drugs);-log10(p.val.adj_drugs);cluster
 921.5    ;1516.5    ;0.02721442;3.000043  ;1.9586507 ;0.06693786;4.000043  ;2.958651  ;cluster_0 
 759.5    ;1311.5    ;0.02644668;2.795923  ;1.7545308 ;0.07698524;4.000043  ;2.958651  ;cluster_1 
1782.0    ;3195.0    ;0.02359825;2.522922  ;1.4815295 ;0.06372291;4.000043  ;2.958651  ;cluster_2 
2031.0    ;5326.5    ;0.04211989;4.000043  ;2.9586507 ;0.07379993;4.000043  ;2.958651  ;cluster_3 
1129.5    ;2259.0    ;0.02232551;1.931858  ;0.8904649 ;0.06950995;3.699013  ;2.657621  ;cluster_4 
 940.0    ;1809.0    ;0.02545603;2.387260  ;1.3458669 ;0.07037152;4.000043  ;2.958651  ;cluster_5 
1724.0    ;3627.0    ;0.01815477;1.540651  ;0.4992583 ;0.05860776;3.154945  ;2.113553  ;cluster_6 
1235.0    ;2301.0    ;0.02208781;2.187130  ;1.1457374 ;0.05913712;3.522922  ;2.481529  ;cluster_7 
2521.5    ;7207.0    ;0.04353460;4.000043  ;2.9586507 ;0.08266001;4.000043  ;2.958651  ;cluster_8 
 909.5    ;1815.0    ;0.03259800;3.522922  ;2.4815295 ;0.06548553;3.522922  ;2.481529  ;cluster_9 
1812.0    ;4030.5    ;0.01457778;1.185796  ;0.1444031 ;0.06082192;2.958651  ;1.917258  ;cluster_10
