median(genes);median(umi);median(score_genetic);-log10(p.val_genetic);-log10(p.val.adj_genetic);median(score_drugs);-log10(p.val_drugs);-log10(p.val.adj_drugs);cluster
 921.5      ;1516.5      ; 0.005599448;0.5564675   ;0.0000000   ;0.1262801   ;4.000043    ;2.958651    ;cluster_0   
 759.5      ;1311.5      ; 0.001395031;0.3783480   ;0.0000000   ;0.1557855   ;4.000043    ;2.958651    ;cluster_1   
1782.0      ;3195.0      ; 0.005437711;0.5330276   ;0.0000000   ;0.1144132   ;4.000043    ;2.958651    ;cluster_2   
2031.0      ;5326.5      ; 0.019689865;1.2175708   ;0.1761781   ;0.1155752   ;3.522922    ;2.481529    ;cluster_3   
1129.5      ;2259.0      ; 0.002942004;0.4214042   ;0.0000000   ;0.1326026   ;4.000043    ;2.958651    ;cluster_4   
 940.0      ;1809.0      ; 0.002350668;0.4068682   ;0.0000000   ;0.1437893   ;4.000043    ;2.958651    ;cluster_5   
1724.0      ;3627.0      ;-0.005896874;0.1731268   ;0.0000000   ;0.1177674   ;4.000043    ;2.958651    ;cluster_6   
1235.0      ;2301.0      ; 0.001345131;0.3765874   ;0.0000000   ;0.1206430   ;4.000043    ;2.958651    ;cluster_7   
2521.5      ;7207.0      ; 0.020941436;1.2358673   ;0.1944746   ;0.1252452   ;3.699013    ;2.657621    ;cluster_8   
 909.5      ;1815.0      ; 0.008119436;0.6386934   ;0.0000000   ;0.1281310   ;3.699013    ;2.657621    ;cluster_9   
1812.0      ;4030.5      ; 0.003170856;0.4241631   ;0.0000000   ;0.1076826   ;3.301073    ;2.259681    ;cluster_10  
