median(genes);median(umi);median(score_genetic);-log10(p.val_genetic);-log10(p.val.adj_genetic);median(score_drugs);-log10(p.val_drugs);-log10(p.val.adj_drugs);cluster
5343.0      ;16804.0     ;0.018778755 ;0.7744757   ;0.000000    ;-0.03727366 ;0.0093938390;0           ;cluster_0   
2997.5      ; 5982.0     ;0.021357784 ;0.8456195   ;0.000000    ;-0.05090170 ;0.0003475399;0           ;cluster_1   
3400.5      ; 7860.0     ;0.016043256 ;0.6934040   ;0.000000    ;-0.03622815 ;0.0130478876;0           ;cluster_2   
4734.0      ;12836.0     ;0.014440667 ;0.6505716   ;0.000000    ;-0.04349800 ;0.0039259511;0           ;cluster_3   
4424.0      ;11838.0     ;0.015984498 ;0.6880778   ;0.000000    ;-0.05683328 ;0.0000868589;0           ;cluster_4   
4059.0      ; 9877.0     ;0.014899206 ;0.6525183   ;0.000000    ;-0.05359053 ;0.0004779391;0           ;cluster_5   
5308.0      ;19457.0     ;0.013166037 ;0.5955518   ;0.000000    ;-0.05626687 ;0.0017404872;0           ;cluster_6   
5070.0      ;16748.0     ;0.027002807 ;1.0301618   ;0.000000    ;-0.04397264 ;0.0089946508;0           ;cluster_7   
5594.5      ;19827.0     ;0.020525350 ;0.8239522   ;0.000000    ;-0.05172720 ;0.0009564047;0           ;cluster_8   
2737.5      ; 5796.5     ;0.011661118 ;0.5764699   ;0.000000    ;-0.04002421 ;0.0078877162;0           ;cluster_9   
4412.0      ;11350.0     ;0.009837574 ;0.5331758   ;0.000000    ;-0.04937136 ;0.0027444349;0           ;cluster_10  
3524.0      ; 7637.0     ;0.076146365 ;3.5229222   ;2.443741    ; 0.03075188 ;0.9303753304;0           ;cluster_11  
