median(genes);median(umi);median(score_genetic);-log10(p.val_genetic);-log10(p.val.adj_genetic);median(score_drugs);-log10(p.val_drugs);-log10(p.val.adj_drugs);cluster
5343.0      ;16804.0     ;0.0087953376;0.5592917   ;0.00000     ;0.10443576  ;3.301073    ;2.221892    ;cluster_0   
2997.5      ; 5982.0     ;0.0089840400;0.5572502   ;0.00000     ;0.09404307  ;3.096953    ;2.017772    ;cluster_1   
3400.5      ; 7860.0     ;0.0075630922;0.5206121   ;0.00000     ;0.11050436  ;3.397983    ;2.318802    ;cluster_2   
4734.0      ;12836.0     ;0.0023576862;0.3607562   ;0.00000     ;0.08584679  ;2.769595    ;1.690413    ;cluster_3   
4424.0      ;11838.0     ;0.0005860926;0.3201615   ;0.00000     ;0.10333873  ;3.301073    ;2.221892    ;cluster_4   
4059.0      ; 9877.0     ;0.0018563989;0.3510982   ;0.00000     ;0.08777645  ;2.769595    ;1.690413    ;cluster_5   
5308.0      ;19457.0     ;0.0027847937;0.3704300   ;0.00000     ;0.11790401  ;4.000043    ;2.920862    ;cluster_6   
5070.0      ;16748.0     ;0.0138343133;0.7338117   ;0.00000     ;0.07105627  ;2.221892    ;1.142711    ;cluster_7   
5594.5      ;19827.0     ;0.0086115314;0.5511826   ;0.00000     ;0.08062994  ;2.602103    ;1.522922    ;cluster_8   
2737.5      ; 5796.5     ;0.0051610651;0.4426565   ;0.00000     ;0.13760625  ;3.699013    ;2.619832    ;cluster_9   
4412.0      ;11350.0     ;0.0087928317;0.5693235   ;0.00000     ;0.10114881  ;3.301073    ;2.221892    ;cluster_10  
3524.0      ; 7637.0     ;0.0379437064;2.2291914   ;1.15001     ;0.10747298  ;3.301073    ;2.221892    ;cluster_11  
