median(genes);median(umi);median(score_genetic);-log10(p.val_genetic);-log10(p.val.adj_genetic);median(score_drugs);-log10(p.val_drugs);-log10(p.val.adj_drugs);cluster
5343.0    ;16804.0   ;0.02713839;1.482848  ;0.4036663 ;0.10768556;4.000043  ;2.920862  ;cluster_0 
2997.5    ; 5982.0   ;0.02998240;1.627131  ;0.5479502 ;0.10314749;4.000043  ;2.920862  ;cluster_1 
3400.5    ; 7860.0   ;0.02798190;1.542162  ;0.4629803 ;0.11890183;4.000043  ;2.920862  ;cluster_2 
4734.0    ;12836.0   ;0.02280942;1.243407  ;0.1642261 ;0.09336413;3.699013  ;2.619832  ;cluster_3 
4424.0    ;11838.0   ;0.02541306;1.387260  ;0.3080783 ;0.11003043;4.000043  ;2.920862  ;cluster_4 
4059.0    ; 9877.0   ;0.02339824;1.263647  ;0.1844657 ;0.09979405;3.699013  ;2.619832  ;cluster_5 
5308.0    ;19457.0   ;0.02489933;1.302814  ;0.2236328 ;0.11036648;4.000043  ;2.920862  ;cluster_6 
5070.0    ;16748.0   ;0.03532857;1.958651  ;0.8794695 ;0.08518401;3.096953  ;2.017772  ;cluster_7 
5594.5    ;19827.0   ;0.03042733;1.679897  ;0.6007159 ;0.09077807;3.301073  ;2.221892  ;cluster_8 
2737.5    ; 5796.5   ;0.02719651;1.452269  ;0.3730875 ;0.13008883;4.000043  ;2.920862  ;cluster_9 
4412.0    ;11350.0   ;0.02524266;1.390449  ;0.3112678 ;0.12594360;4.000043  ;2.920862  ;cluster_10
3524.0    ; 7637.0   ;0.04384755;2.886100  ;1.8069188 ;0.10505345;4.000043  ;2.920862  ;cluster_11
