median(genes);median(umi);median(score_genetic);-log10(p.val_genetic);-log10(p.val.adj_genetic);median(score_drugs);-log10(p.val_drugs);-log10(p.val.adj_drugs);cluster
5343.0       ;16804.0      ; 0.0054291656;0.4232415    ;0.0000000    ;0.1820729    ;4.000043     ;2.920862     ;cluster_0    
2997.5       ; 5982.0      ; 0.0085956523;0.4973433    ;0.0000000    ;0.1668822    ;4.000043     ;2.920862     ;cluster_1    
3400.5       ; 7860.0      ; 0.0003478112;0.3150186    ;0.0000000    ;0.1899392    ;4.000043     ;2.920862     ;cluster_2    
4734.0       ;12836.0      ;-0.0020518181;0.2658038    ;0.0000000    ;0.1602510    ;4.000043     ;2.920862     ;cluster_3    
4424.0       ;11838.0      ; 0.0015132184;0.3339000    ;0.0000000    ;0.1890643    ;4.000043     ;2.920862     ;cluster_4    
4059.0       ; 9877.0      ; 0.0003322419;0.3113567    ;0.0000000    ;0.1629950    ;4.000043     ;2.920862     ;cluster_5    
5308.0       ;19457.0      ; 0.0043449673;0.3929102    ;0.0000000    ;0.2131901    ;4.000043     ;2.920862     ;cluster_6    
5070.0       ;16748.0      ; 0.0148495574;0.6684137    ;0.0000000    ;0.1448591    ;4.000043     ;2.920862     ;cluster_7    
5594.5       ;19827.0      ; 0.0134997022;0.6394500    ;0.0000000    ;0.1585253    ;4.000043     ;2.920862     ;cluster_8    
2737.5       ; 5796.5      ;-0.0003737417;0.3039493    ;0.0000000    ;0.2246044    ;4.000043     ;2.920862     ;cluster_9    
4412.0       ;11350.0      ;-0.0001117361;0.3074609    ;0.0000000    ;0.1917051    ;4.000043     ;2.920862     ;cluster_10   
3524.0       ; 7637.0      ; 0.0368604890;1.5784395    ;0.4992583    ;0.1595155    ;4.000043     ;2.920862     ;cluster_11   
