median(genes);median(umi);median(score_genetic);-log10(p.val_genetic);-log10(p.val.adj_genetic);median(score_drugs);-log10(p.val_drugs);-log10(p.val.adj_drugs);cluster
1848.5    ; 4298.5   ;0.06669367;2.284040  ;1.24264740;0.3321846 ;4.000043  ;2.958651  ;cluster_0 
2057.0    ; 4883.0   ;0.07008673;2.494893  ;1.45350076;0.3392980 ;4.000043  ;2.958651  ;cluster_1 
3671.0    ;11332.0   ;0.05855785;1.974738  ;0.93334488;0.3533699 ;4.000043  ;2.958651  ;cluster_2 
3003.0    ; 9369.0   ;0.08922698;3.397983  ;2.35659075;0.2938201 ;4.000043  ;2.958651  ;cluster_3 
3594.5    ;10133.5   ;0.09210012;3.221892  ;2.18049949;0.2781521 ;4.000043  ;2.958651  ;cluster_4 
3943.0    ;13493.0   ;0.03826605;1.301073  ;0.25968074;0.3141773 ;4.000043  ;2.958651  ;cluster_5 
3693.0    ;12658.5   ;0.05642256;1.872939  ;0.83154594;0.3632783 ;4.000043  ;2.958651  ;cluster_6 
2951.0    ; 8578.0   ;0.04706791;1.630828  ;0.58943488;0.3420200 ;4.000043  ;2.958651  ;cluster_7 
2740.0    ; 7239.0   ;0.04852336;1.619832  ;0.57843950;0.3007325 ;4.000043  ;2.958651  ;cluster_8 
3641.5    ;12654.0   ;0.03221781;1.130225  ;0.08883253;0.3356863 ;4.000043  ;2.958651  ;cluster_9 
3426.0    ; 9806.0   ;0.06406814;2.161194  ;1.11980165;0.2638506 ;4.000043  ;2.958651  ;cluster_10
