median(genes);median(umi);median(score_genetic);-log10(p.val_genetic);-log10(p.val.adj_genetic);median(score_drugs);-log10(p.val_drugs);-log10(p.val.adj_drugs);cluster
1848.5    ; 4298.5   ;0.10656754;4.000043  ;2.958651  ;0.7676253 ;4.000043  ;2.958651  ;cluster_0 
2057.0    ; 4883.0   ;0.10764584;4.000043  ;2.958651  ;0.7599128 ;4.000043  ;2.958651  ;cluster_1 
3671.0    ;11332.0   ;0.08542689;4.000043  ;2.958651  ;0.7524096 ;4.000043  ;2.958651  ;cluster_2 
3003.0    ; 9369.0   ;0.10509702;4.000043  ;2.958651  ;0.6894381 ;4.000043  ;2.958651  ;cluster_3 
3594.5    ;10133.5   ;0.10455234;4.000043  ;2.958651  ;0.7175775 ;4.000043  ;2.958651  ;cluster_4 
3943.0    ;13493.0   ;0.07999667;4.000043  ;2.958651  ;0.7868739 ;4.000043  ;2.958651  ;cluster_5 
3693.0    ;12658.5   ;0.09200858;4.000043  ;2.958651  ;0.7498788 ;4.000043  ;2.958651  ;cluster_6 
2951.0    ; 8578.0   ;0.10008418;4.000043  ;2.958651  ;0.7352775 ;4.000043  ;2.958651  ;cluster_7 
2740.0    ; 7239.0   ;0.08231424;4.000043  ;2.958651  ;0.7924093 ;4.000043  ;2.958651  ;cluster_8 
3641.5    ;12654.0   ;0.08970825;4.000043  ;2.958651  ;0.7897613 ;4.000043  ;2.958651  ;cluster_9 
3426.0    ; 9806.0   ;0.08398473;4.000043  ;2.958651  ;0.7755396 ;4.000043  ;2.958651  ;cluster_10
