median(genes);median(umi);median(score_genetic);-log10(p.val_genetic);-log10(p.val.adj_genetic);median(score_drugs);-log10(p.val_drugs);-log10(p.val.adj_drugs);cluster
7363.5    ;58439.0   ;0.06351865;1.326101  ;0.2847087 ;0.5238793 ;4.000043  ;2.958651  ;cluster_0 
5645.5    ;31699.5   ;0.16651316;3.522922  ;2.4815295 ;0.4510644 ;4.000043  ;2.958651  ;cluster_1 
5552.0    ;25019.0   ;0.16367669;3.397983  ;2.3565908 ;0.5002646 ;4.000043  ;2.958651  ;cluster_2 
7785.5    ;72409.5   ;0.09934756;1.962617  ;0.9212242 ;0.4309290 ;4.000043  ;2.958651  ;cluster_3 
5381.0    ;25742.0   ;0.16779327;3.522922  ;2.4815295 ;0.4984058 ;4.000043  ;2.958651  ;cluster_4 
4117.0    ;14447.0   ;0.17256925;3.522922  ;2.4815295 ;0.4816016 ;4.000043  ;2.958651  ;cluster_5 
7081.5    ;52663.5   ;0.13123208;2.602103  ;1.5607107 ;0.4364961 ;4.000043  ;2.958651  ;cluster_6 
7331.0    ;52297.0   ;0.13018963;2.769595  ;1.7282018 ;0.4424075 ;4.000043  ;2.958651  ;cluster_7 
6445.5    ;40899.0   ;0.15055668;3.221892  ;2.1804995 ;0.4671413 ;4.000043  ;2.958651  ;cluster_8 
5991.0    ;27353.5   ;0.19477272;3.699013  ;2.6576207 ;0.4731805 ;4.000043  ;2.958651  ;cluster_9 
4668.0    ;24030.0   ;0.11849368;2.508682  ;1.4672890 ;0.4465492 ;4.000043  ;2.958651  ;cluster_10
