median(genes);median(umi);median(score_genetic);-log10(p.val_genetic);-log10(p.val.adj_genetic);median(score_drugs);-log10(p.val_drugs);-log10(p.val.adj_drugs);cluster
7363.5    ;58439.0   ;0.06854751;2.167535  ;1.126142  ;1.074440  ;4.000043  ;2.958651  ;cluster_0 
5645.5    ;31699.5   ;0.12711018;4.000043  ;2.958651  ;1.014608  ;4.000043  ;2.958651  ;cluster_1 
5552.0    ;25019.0   ;0.14429862;4.000043  ;2.958651  ;1.019624  ;4.000043  ;2.958651  ;cluster_2 
7785.5    ;72409.5   ;0.07688801;2.259681  ;1.218288  ;1.023420  ;4.000043  ;2.958651  ;cluster_3 
5381.0    ;25742.0   ;0.14436538;4.000043  ;2.958651  ;1.025545  ;4.000043  ;2.958651  ;cluster_4 
4117.0    ;14447.0   ;0.13828565;4.000043  ;2.958651  ;1.039636  ;4.000043  ;2.958651  ;cluster_5 
7081.5    ;52663.5   ;0.09783345;3.096953  ;2.055561  ;1.015082  ;4.000043  ;2.958651  ;cluster_6 
7331.0    ;52297.0   ;0.10611401;3.699013  ;2.657621  ;1.049301  ;4.000043  ;2.958651  ;cluster_7 
6445.5    ;40899.0   ;0.12124163;4.000043  ;2.958651  ;1.038419  ;4.000043  ;2.958651  ;cluster_8 
5991.0    ;27353.5   ;0.15354363;4.000043  ;2.958651  ;1.050887  ;4.000043  ;2.958651  ;cluster_9 
4668.0    ;24030.0   ;0.10319356;3.301073  ;2.259681  ;1.079489  ;4.000043  ;2.958651  ;cluster_10
