median(genes);median(umi);median(score_genetic);-log10(p.val_genetic);-log10(p.val.adj_genetic);median(score_drugs);-log10(p.val_drugs);-log10(p.val.adj_drugs);cluster
5731.0    ;41157.0   ;0.09960038;2.1024163 ;0.9562883 ;0.4771521 ;4.000043  ;2.853915  ;cluster_0 
5305.0    ;30694.5   ;0.12315945;2.5376454 ;1.3915174 ;0.5143379 ;4.000043  ;2.853915  ;cluster_1 
5623.0    ;37545.0   ;0.10307912;2.1135527 ;0.9674247 ;0.5024492 ;4.000043  ;2.853915  ;cluster_2 
6106.0    ;41755.0   ;0.10013318;2.1249822 ;0.9788541 ;0.5056720 ;4.000043  ;2.853915  ;cluster_3 
5625.5    ;34345.0   ;0.10597293;2.2676497 ;1.1215216 ;0.5366119 ;4.000043  ;2.853915  ;cluster_4 
5715.0    ;36085.5   ;0.12138115;2.5528854 ;1.4067574 ;0.5230522 ;4.000043  ;2.853915  ;cluster_5 
5791.0    ;28871.0   ;0.06763006;1.3458669 ;0.1997388 ;0.5917891 ;4.000043  ;2.853915  ;cluster_6 
5862.0    ;33483.0   ;0.11072758;2.3468309 ;1.2007029 ;0.5477229 ;4.000043  ;2.853915  ;cluster_7 
5633.0    ;24927.5   ;0.15697062;3.3010734 ;2.1549454 ;0.5269211 ;4.000043  ;2.853915  ;cluster_8 
5929.0    ;31911.0   ;0.04901752;0.9512133 ;0.0000000 ;0.5986034 ;4.000043  ;2.853915  ;cluster_9 
6058.0    ;39013.0   ;0.10933020;2.3279456 ;1.1818175 ;0.5173382 ;4.000043  ;2.853915  ;cluster_10
4166.0    ;23095.0   ;0.05206057;1.0472510 ;0.0000000 ;0.6560331 ;4.000043  ;2.853915  ;cluster_11
5446.0    ;25063.0   ;0.06471537;1.3316575 ;0.1855295 ;0.5049804 ;4.000043  ;2.853915  ;cluster_12
5258.0    ;20207.0   ;0.06826469;1.2612629 ;0.1151348 ;0.4890568 ;4.000043  ;2.853915  ;cluster_13
