median(genes);median(umi);median(score_genetic);-log10(p.val_genetic);-log10(p.val.adj_genetic);median(score_drugs);-log10(p.val_drugs);-log10(p.val.adj_drugs);cluster
5731.0    ;41157.0   ;0.05570911;1.5143220 ;0.3681940 ;0.9322323 ;4.000043  ;2.853915  ;cluster_0 
5305.0    ;30694.5   ;0.07354590;2.1938635 ;1.0477354 ;1.0012082 ;4.000043  ;2.853915  ;cluster_1 
5623.0    ;37545.0   ;0.06140946;1.7212898 ;0.5751618 ;0.9716105 ;4.000043  ;2.853915  ;cluster_2 
6106.0    ;41755.0   ;0.05422956;1.4841696 ;0.3380415 ;1.0127274 ;4.000043  ;2.853915  ;cluster_3 
5625.5    ;34345.0   ;0.08053014;2.5086817 ;1.3625537 ;0.9968955 ;4.000043  ;2.853915  ;cluster_4 
5715.0    ;36085.5   ;0.07166096;2.1367206 ;0.9905925 ;0.9972072 ;4.000043  ;2.853915  ;cluster_5 
5791.0    ;28871.0   ;0.06030656;1.7375923 ;0.5914643 ;1.1304589 ;4.000043  ;2.853915  ;cluster_6 
5862.0    ;33483.0   ;0.09411863;3.2218922 ;2.0757641 ;1.0159918 ;4.000043  ;2.853915  ;cluster_7 
5633.0    ;24927.5   ;0.10631160;4.0000434 ;2.8539154 ;1.0395025 ;4.000043  ;2.853915  ;cluster_8 
5929.0    ;31911.0   ;0.05361785;1.4672890 ;0.3211610 ;1.1405092 ;4.000043  ;2.853915  ;cluster_9 
6058.0    ;39013.0   ;0.07679972;2.3565908 ;1.2104627 ;0.9742668 ;4.000043  ;2.853915  ;cluster_10
4166.0    ;23095.0   ;0.03733557;0.9772028 ;0.0000000 ;1.0949593 ;4.000043  ;2.853915  ;cluster_11
5446.0    ;25063.0   ;0.04704865;1.2765878 ;0.1304597 ;1.1590355 ;4.000043  ;2.853915  ;cluster_12
5258.0    ;20207.0   ;0.04915061;1.2882362 ;0.1421082 ;1.1422536 ;4.000043  ;2.853915  ;cluster_13
