median(genes);median(umi);median(score_genetic);-log10(p.val_genetic);-log10(p.val.adj_genetic);median(score_drugs);-log10(p.val_drugs);-log10(p.val.adj_drugs);cluster
1561.0     ; 2641.0    ;0.04029884 ;1.4989842  ;0.45759148 ; 0.03772026;1.3737031  ;0.332310375;cluster_0  
1664.5     ; 2972.0    ;0.03051337 ;1.1818175  ;0.14042485 ; 0.02655407;1.0458009  ;0.004408233;cluster_1  
5516.0     ;17236.5    ;0.05220842 ;1.9172581  ;0.87586537 ; 0.08630048;3.2218922  ;2.180499492;cluster_2  
5346.5     ;16143.5    ;0.01421292 ;0.6743226  ;0.00000000 ; 0.02631625;0.9813429  ;0.000000000;cluster_3  
7295.0     ;31606.0    ;0.03594122 ;1.3071965  ;0.26580382 ; 0.01449113;0.6743226  ;0.000000000;cluster_4  
1596.5     ; 3162.0    ;0.02937603 ;1.1209475  ;0.07955486 ; 0.01498025;0.7091189  ;0.000000000;cluster_5  
6596.5     ;25110.0    ;0.02511847 ;0.9846837  ;0.00000000 ; 0.04285464;1.4789053  ;0.437512658;cluster_6  
6154.5     ;21462.5    ;0.05337295 ;1.9066217  ;0.86522906 ; 0.07562878;2.5528854  ;1.511492711;cluster_7  
2497.0     ; 4991.0    ;0.04695267 ;1.7282018  ;0.68680914 ; 0.05549998;1.9508254  ;0.909432719;cluster_8  
4890.0     ;14559.0    ;0.09093401 ;3.3010734  ;2.25968074 ; 0.09673865;3.3979834  ;2.356590751;cluster_9  
6859.0     ;25622.0    ;0.01163647 ;0.5430704  ;0.00000000 ;-0.01820620;0.1240567  ;0.000000000;cluster_10 
