median(genes);median(umi);median(score_genetic);-log10(p.val_genetic);-log10(p.val.adj_genetic);median(score_drugs);-log10(p.val_drugs);-log10(p.val.adj_drugs);cluster
1561.0       ; 2641.0      ;0.019282376  ;0.8422845    ;0.000000     ; 0.0565801798;1.8633229    ;0.8219302    ;cluster_0    
1664.5       ; 2972.0      ;0.011978684  ;0.6505716    ;0.000000     ; 0.0408350199;1.4056509    ;0.3642582    ;cluster_1    
5516.0       ;17236.5      ;0.024815222  ;0.9922956    ;0.000000     ; 0.1068893372;3.5229222    ;2.4815295    ;cluster_2    
5346.5       ;16143.5      ;0.004713985  ;0.4490817    ;0.000000     ; 0.0397712083;1.2967520    ;0.2553594    ;cluster_3    
7295.0       ;31606.0      ;0.018169806  ;0.7650203    ;0.000000     ; 0.0388702201;1.2464604    ;0.2050677    ;cluster_4    
1596.5       ; 3162.0      ;0.008935970  ;0.5603950    ;0.000000     ; 0.0375636526;1.2749489    ;0.2335562    ;cluster_5    
6596.5       ;25110.0      ;0.007635556  ;0.5044991    ;0.000000     ; 0.0600212143;1.8729386    ;0.8315459    ;cluster_6    
6154.5       ;21462.5      ;0.023041757  ;0.9186961    ;0.000000     ; 0.1067246022;3.6990134    ;2.6576207    ;cluster_7    
2497.0       ; 4991.0      ;0.023896340  ;0.9678277    ;0.000000     ; 0.0812865322;2.6990134    ;1.6576207    ;cluster_8    
4890.0       ;14559.0      ;0.070210394  ;2.3665750    ;1.325182     ; 0.1147701318;3.5229222    ;2.4815295    ;cluster_9    
6859.0       ;25622.0      ;0.002556500  ;0.3687011    ;0.000000     ;-0.0008822651;0.3207973    ;0.0000000    ;cluster_10   
