median(genes);median(umi);median(score_genetic);-log10(p.val_genetic);-log10(p.val.adj_genetic);median(score_drugs);-log10(p.val_drugs);-log10(p.val.adj_drugs);cluster
1561.0      ; 2641.0     ;-0.014320639;0.10990197  ;0           ;0.1821137   ;4.000043    ;2.958651    ;cluster_0   
1664.5      ; 2972.0     ;-0.014478685;0.11012574  ;0           ;0.1699579   ;4.000043    ;2.958651    ;cluster_1   
5516.0      ;17236.5     ;-0.018276321;0.06939999  ;0           ;0.2128014   ;4.000043    ;2.958651    ;cluster_2   
5346.5      ;16143.5     ;-0.014374397;0.11068569  ;0           ;0.1529776   ;4.000043    ;2.958651    ;cluster_3   
7295.0      ;31606.0     ;-0.020339609;0.06067396  ;0           ;0.1481209   ;4.000043    ;2.958651    ;cluster_4   
1596.5      ; 3162.0     ;-0.014297912;0.11253865  ;0           ;0.1527219   ;4.000043    ;2.958651    ;cluster_5   
6596.5      ;25110.0     ;-0.009839793;0.16708768  ;0           ;0.1577786   ;4.000043    ;2.958651    ;cluster_6   
6154.5      ;21462.5     ;-0.024374655;0.03390169  ;0           ;0.1933334   ;4.000043    ;2.958651    ;cluster_7   
2497.0      ; 4991.0     ;-0.019759327;0.05982587  ;0           ;0.1690532   ;4.000043    ;2.958651    ;cluster_8   
4890.0      ;14559.0     ;-0.016864372;0.08175091  ;0           ;0.2243624   ;4.000043    ;2.958651    ;cluster_9   
6859.0      ;25622.0     ;-0.010341006;0.16195029  ;0           ;0.1113137   ;4.000043    ;2.958651    ;cluster_10  
