median(genes);median(umi);median(score_genetic);-log10(p.val_genetic);-log10(p.val.adj_genetic);median(score_drugs);-log10(p.val_drugs);-log10(p.val.adj_drugs);cluster
1424.0     ; 2497.0    ;0.06573979 ;1.7932176  ;0.7932176  ; 0.07441707;1.98301009 ;0.9830101  ;cluster_0  
7466.0     ;33473.5    ;0.02268138 ;0.7316995  ;0.0000000  ; 0.01964694;0.67166382 ;0.0000000  ;cluster_1  
6399.5     ;23151.5    ;0.05824900 ;1.6536905  ;0.6536905  ; 0.09572225;2.56867966 ;1.5686797  ;cluster_2  
4426.0     ;11404.0    ;0.09015281 ;2.4948934  ;1.4948934  ; 0.10978428;2.82395217 ;1.8239522  ;cluster_3  
3145.0     ; 7024.5    ;0.04156741 ;1.1785299  ;0.1785299  ; 0.04899107;1.31073457 ;0.3107346  ;cluster_4  
7729.0     ;35385.0    ;0.07005048 ;1.9508254  ;0.9508254  ; 0.10467287;2.79592344 ;1.7959234  ;cluster_5  
4983.0     ;14115.0    ;0.11122048 ;3.0969534  ;2.0969534  ; 0.11852783;3.09695344 ;2.0969534  ;cluster_6  
7548.5     ;32475.5    ;0.02106760 ;0.6923335  ;0.0000000  ;-0.04457723;0.02364759 ;0.0000000  ;cluster_7  
7262.0     ;28031.0    ;0.07305194 ;2.1079488  ;1.1079488  ; 0.10075095;2.65762075 ;1.6576207  ;cluster_8  
7049.0     ;26488.5    ;0.04005980 ;1.1046209  ;0.1046209  ;-0.01197905;0.20028946 ;0.0000000  ;cluster_9  
