median(genes);median(umi);median(score_genetic);-log10(p.val_genetic);-log10(p.val.adj_genetic);median(score_drugs);-log10(p.val_drugs);-log10(p.val.adj_drugs);cluster
1424.0       ; 2497.0      ; 0.0342878261;1.0052865    ;0.005286483  ; 0.111579235 ;3.0000434    ;2.0000434    ;cluster_0    
7466.0       ;33473.5      ; 0.0002462613;0.3413644    ;0.000000000  ; 0.049765704 ;1.2604711    ;0.2604711    ;cluster_1    
6399.5       ;23151.5      ; 0.0234591470;0.7953809    ;0.000000000  ; 0.130496486 ;3.6990134    ;2.6990134    ;cluster_2    
4426.0       ;11404.0      ; 0.0581179589;1.5935032    ;0.593503247  ; 0.151914865 ;4.0000434    ;3.0000434    ;cluster_3    
3145.0       ; 7024.5      ; 0.0171629227;0.6468969    ;0.000000000  ; 0.081450427 ;2.0177722    ;1.0177722    ;cluster_4    
7729.0       ;35385.0      ; 0.0400179293;1.1308117    ;0.130811708  ; 0.132014893 ;3.6990134    ;2.6990134    ;cluster_5    
4983.0       ;14115.0      ; 0.0747081813;1.9318576    ;0.931857566  ; 0.153781287 ;4.0000434    ;3.0000434    ;cluster_6    
7548.5       ;32475.5      ;-0.0015703299;0.3154673    ;0.000000000  ;-0.008626324 ;0.2429512    ;0.0000000    ;cluster_7    
7262.0       ;28031.0      ; 0.0444303070;1.2557504    ;0.255750444  ; 0.134684790 ;3.5229222    ;2.5229222    ;cluster_8    
7049.0       ;26488.5      ; 0.0119905257;0.5013195    ;0.000000000  ; 0.018280241 ;0.5962368    ;0.0000000    ;cluster_9    
