median(genes);median(umi);median(score_genetic);-log10(p.val_genetic);-log10(p.val.adj_genetic);median(score_drugs);-log10(p.val_drugs);-log10(p.val.adj_drugs);cluster
1424.0      ; 2497.0     ;-0.010191680;0.2063927   ;0           ;0.2478936   ;4.000043    ;3.000043    ;cluster_0   
7466.0      ;33473.5     ;-0.019241699;0.1148519   ;0           ;0.1701500   ;4.000043    ;3.000043    ;cluster_1   
6399.5      ;23151.5     ;-0.017237537;0.1276540   ;0           ;0.2302571   ;4.000043    ;3.000043    ;cluster_2   
4426.0      ;11404.0     ;-0.001583693;0.3057893   ;0           ;0.2570452   ;4.000043    ;3.000043    ;cluster_3   
3145.0      ; 7024.5     ;-0.007304823;0.2368401   ;0           ;0.2041635   ;4.000043    ;3.000043    ;cluster_4   
7729.0      ;35385.0     ;-0.014251914;0.1586214   ;0           ;0.2599361   ;4.000043    ;3.000043    ;cluster_5   
4983.0      ;14115.0     ;-0.001314708;0.3065803   ;0           ;0.2728362   ;4.000043    ;3.000043    ;cluster_6   
7548.5      ;32475.5     ; 0.001540035;0.3533457   ;0           ;0.1288873   ;4.000043    ;3.000043    ;cluster_7   
7262.0      ;28031.0     ;-0.006808346;0.2366903   ;0           ;0.2509069   ;4.000043    ;3.000043    ;cluster_8   
7049.0      ;26488.5     ; 0.010013475;0.4878929   ;0           ;0.1654846   ;4.000043    ;3.000043    ;cluster_9   
