median.genes;median.umi;median.score_genetic;trait;dataset
 0.76666667                               ; 0.766666667                              ;1.0000000                                 ;ADHD                                      ;Human_brain_DLPFC_151673                  
 0.35000000                               ; 0.350000000                              ;0.9833333                                 ;AHD                                       ;Human_brain_DLPFC_151673                  
 0.18333333                               ; 0.183333333                              ;0.9833333                                 ;ALS                                       ;Human_brain_DLPFC_151673                  
-0.60000000                               ;-0.600000000                              ;1.0000000                                 ;ALZ                                       ;Human_brain_DLPFC_151673                  
 0.76666667                               ; 0.766666667                              ;1.0000000                                 ;ASD                                       ;Human_brain_DLPFC_151673                  
 0.41666667                               ; 0.416666667                              ;1.0000000                                 ;BIP                                       ;Human_brain_DLPFC_151673                  
NA                                        ;NA                                        ;NA                                        ;EPI                                       ;Human_brain_DLPFC_151673                  
-0.20000000                               ;-0.200000000                              ;0.9833333                                 ;INS                                       ;Human_brain_DLPFC_151673                  
 0.75000000                               ; 0.750000000                              ;0.9833333                                 ;MDD                                       ;Human_brain_DLPFC_151673                  
-0.71666667                               ;-0.716666667                              ;0.9833333                                 ;MS                                        ;Human_brain_DLPFC_151673                  
NA                                        ;NA                                        ;NA                                        ;PAR                                       ;Human_brain_DLPFC_151673                  
 0.78333333                               ; 0.783333333                              ;1.0000000                                 ;SCZ                                       ;Human_brain_DLPFC_151673                  
 0.78571429                               ; 0.892857143                              ;1.0000000                                 ;ADHD                                      ;Human_brain_DLPFC_151509                  
 0.46428571                               ; 0.357142857                              ;1.0000000                                 ;AHD                                       ;Human_brain_DLPFC_151509                  
 0.71428571                               ; 0.642857143                              ;1.0000000                                 ;ALS                                       ;Human_brain_DLPFC_151509                  
 0.00000000                               ;-0.142857143                              ;1.0000000                                 ;ALZ                                       ;Human_brain_DLPFC_151509                  
 0.78571429                               ; 0.892857143                              ;1.0000000                                 ;ASD                                       ;Human_brain_DLPFC_151509                  
 0.64285714                               ; 0.750000000                              ;1.0000000                                 ;BIP                                       ;Human_brain_DLPFC_151509                  
NA                                        ;NA                                        ;NA                                        ;EPI                                       ;Human_brain_DLPFC_151509                  
 0.42857143                               ; 0.357142857                              ;1.0000000                                 ;INS                                       ;Human_brain_DLPFC_151509                  
 0.89285714                               ; 0.964285714                              ;0.9642857                                 ;MDD                                       ;Human_brain_DLPFC_151509                  
-0.39285714                               ;-0.428571429                              ;0.9285714                                 ;MS                                        ;Human_brain_DLPFC_151509                  
NA                                        ;NA                                        ;NA                                        ;PAR                                       ;Human_brain_DLPFC_151509                  
 0.89285714                               ; 0.964285714                              ;1.0000000                                 ;SCZ                                       ;Human_brain_DLPFC_151509                  
 0.45833333                               ; 0.460784314                              ;0.9975490                                 ;ADHD                                      ;Cell2location_Visium_mouse_brain_coronal_1
-0.01960784                               ;-0.151960784                              ;0.9681373                                 ;AHD                                       ;Cell2location_Visium_mouse_brain_coronal_1
-0.11029412                               ;-0.245098039                              ;0.9803922                                 ;ALS                                       ;Cell2location_Visium_mouse_brain_coronal_1
-0.43137255                               ;-0.455882353                              ;1.0000000                                 ;ALZ                                       ;Cell2location_Visium_mouse_brain_coronal_1
 0.24942489                               ; 0.175035011                              ;0.5601120                                 ;ASD                                       ;Cell2location_Visium_mouse_brain_coronal_1
 0.37745098                               ; 0.387254902                              ;0.9975490                                 ;BIP                                       ;Cell2location_Visium_mouse_brain_coronal_1
NA                                        ;NA                                        ;NA                                        ;EPI                                       ;Cell2location_Visium_mouse_brain_coronal_1
 0.05392157                               ; 0.154411765                              ;0.9877451                                 ;INS                                       ;Cell2location_Visium_mouse_brain_coronal_1
 0.20343137                               ; 0.139705882                              ;0.9975490                                 ;MDD                                       ;Cell2location_Visium_mouse_brain_coronal_1
-0.26960784                               ;-0.161764706                              ;0.9656863                                 ;MS                                        ;Cell2location_Visium_mouse_brain_coronal_1
 0.05103104                               ; 0.000000000                              ;0.4082483                                 ;PAR                                       ;Cell2location_Visium_mouse_brain_coronal_1
 0.36274510                               ; 0.350490196                              ;0.9950980                                 ;SCZ                                       ;Cell2location_Visium_mouse_brain_coronal_1
 0.05789474                               ; 0.003508772                              ;0.9859649                                 ;ADHD                                      ;10X_Visium_mouse_brain_coronal            
-0.22290480                               ;-0.240456364                              ;0.9504169                                 ;AHD                                       ;10X_Visium_mouse_brain_coronal            
-0.30701754                               ;-0.321052632                              ;0.9701754                                 ;ALS                                       ;10X_Visium_mouse_brain_coronal            
-0.50701754                               ;-0.522807018                              ;0.9982456                                 ;ALZ                                       ;10X_Visium_mouse_brain_coronal            
-0.15987366                               ;-0.184469613                              ;0.7132825                                 ;ASD                                       ;10X_Visium_mouse_brain_coronal            
 0.13333333                               ; 0.085964912                              ;0.9947368                                 ;BIP                                       ;10X_Visium_mouse_brain_coronal            
-0.21516574                               ;-0.215165741                              ;0.3872983                                 ;EPI                                       ;10X_Visium_mouse_brain_coronal            
-0.05964912                               ;-0.087719298                              ;0.9771930                                 ;INS                                       ;10X_Visium_mouse_brain_coronal            
 0.29122807                               ; 0.280701754                              ;0.9947368                                 ;MDD                                       ;10X_Visium_mouse_brain_coronal            
-0.44210526                               ;-0.442105263                              ;0.9771930                                 ;MS                                        ;10X_Visium_mouse_brain_coronal            
-0.41135339                               ;-0.411353387                              ;0.5298232                                 ;PAR                                       ;10X_Visium_mouse_brain_coronal            
-0.03083730                               ;-0.070485265                              ;0.9938422                                 ;SCZ                                       ;10X_Visium_mouse_brain_coronal            
