median.genes;median.umi;median.score_genetic;trait;dataset
 0.6071429  ; 0.5714286  ;1.0000000   ;CAD         ;adult_ACH003
-0.6123724  ;-0.6123724  ;0.6123724   ;CHD         ;adult_ACH003
 0.9642857  ; 0.3928571  ;1.0000000   ;LDL         ;adult_ACH003
 0.5357143  ; 0.4642857  ;1.0000000   ;MI          ;adult_ACH003
 0.9000000  ;-0.6000000  ;1.0000000   ;CAD         ;adult_ACH004
NA          ;NA          ;NA          ;CHD         ;adult_ACH004
 1.0000000  ;-0.7000000  ;1.0000000   ;LDL         ;adult_ACH004
 0.8000000  ;-0.3000000  ;1.0000000   ;MI          ;adult_ACH004
 0.0000000  ; 0.0000000  ;1.0000000   ;CAD         ;pcw9_nr16   
-0.2581989  ;-0.2581989  ;0.7745967   ;CHD         ;pcw9_nr16   
-0.4000000  ;-0.4000000  ;1.0000000   ;LDL         ;pcw9_nr16   
 0.4000000  ; 0.4000000  ;1.0000000   ;MI          ;pcw9_nr16   
 0.4857143  ; 0.2000000  ;1.0000000   ;CAD         ;pcw6.5_nr8  
 0.1309307  ;-0.3927922  ;0.6546537   ;CHD         ;pcw6.5_nr8  
 0.1428571  ; 0.5428571  ;1.0000000   ;LDL         ;pcw6.5_nr8  
 0.4857143  ; 0.2000000  ;1.0000000   ;MI          ;pcw6.5_nr8  
