median.genes;median.umi;median.score_genetic;trait;dataset
 0.50909091       ; 0.48181818       ;0.9727273         ;CD                ;adult_HFGA_A1     
 0.31818182       ; 0.36363636       ;0.9727273         ;IBD               ;adult_HFGA_A1     
 0.03189074       ; 0.04100238       ;0.9795014         ;LID               ;adult_HFGA_A1     
 0.36363636       ; 0.36363636       ;1.0000000         ;UC                ;adult_HFGA_A1     
 0.42857143       ; 0.21428571       ;1.0000000         ;CD                ;adult_RRST_349_B1 
 0.45238095       ; 0.33333333       ;1.0000000         ;IBD               ;adult_RRST_349_B1 
 0.59523810       ; 0.59523810       ;1.0000000         ;LID               ;adult_RRST_349_B1 
 0.50000000       ; 0.30952381       ;0.9047619         ;UC                ;adult_RRST_349_B1 
 0.09790210       ; 0.02797203       ;1.0000000         ;CD                ;mouse_healing_ctrl
 0.02097902       ;-0.05594406       ;0.9720280         ;IBD               ;mouse_healing_ctrl
-0.06293706       ;-0.11888112       ;0.9860140         ;LID               ;mouse_healing_ctrl
 0.28671329       ; 0.23076923       ;1.0000000         ;UC                ;mouse_healing_ctrl
-0.07142857       ; 0.00000000       ;1.0000000         ;CD                ;pcw12_HFGA_A8     
 0.14285714       ; 0.21428571       ;1.0000000         ;IBD               ;pcw12_HFGA_A8     
-0.10714286       ;-0.03571429       ;1.0000000         ;LID               ;pcw12_HFGA_A8     
 0.25000000       ; 0.39285714       ;1.0000000         ;UC                ;pcw12_HFGA_A8     
-0.35000000       ;-0.35000000       ;1.0000000         ;CD                ;pcw19_HFGA_A4     
-0.68333333       ;-0.68333333       ;1.0000000         ;IBD               ;pcw19_HFGA_A4     
-0.81666667       ;-0.81666667       ;1.0000000         ;LID               ;pcw19_HFGA_A4     
-0.63333333       ;-0.63333333       ;1.0000000         ;UC                ;pcw19_HFGA_A4     
