median.genes;median.umi;median.score_genetic;trait;dataset
-0.40000000           ;-0.80000000           ;1.0000000             ;AST                   ;HLA_Parenchyma_A37_347
-0.40000000           ;-0.80000000           ;1.0000000             ;BRD                   ;HLA_Parenchyma_A37_347
-0.40000000           ;-0.80000000           ;1.0000000             ;COPD                  ;HLA_Parenchyma_A37_347
-0.63245553           ;-0.94868330           ;0.9486833             ;LUD                   ;HLA_Parenchyma_A37_347
 0.37142857           ; 0.37142857           ;1.0000000             ;AST                   ;HLA_Parenchyma_A48_345
 0.37142857           ; 0.37142857           ;1.0000000             ;BRD                   ;HLA_Parenchyma_A48_345
-0.54285714           ;-0.54285714           ;1.0000000             ;COPD                  ;HLA_Parenchyma_A48_345
-0.08827348           ;-0.08827348           ;0.9710083             ;LUD                   ;HLA_Parenchyma_A48_345
-0.50000000           ;-0.50000000           ;1.0000000             ;AST                   ;HLA_Bronchi_A50_467   
-0.10000000           ;-0.10000000           ;1.0000000             ;BRD                   ;HLA_Bronchi_A50_467   
-0.30000000           ;-0.30000000           ;0.9000000             ;COPD                  ;HLA_Bronchi_A50_467   
-0.30000000           ;-0.30000000           ;1.0000000             ;LUD                   ;HLA_Bronchi_A50_467   
-0.26190476           ;-0.30952381           ;1.0000000             ;AST                   ;HLA_Bronchi_A42_311   
-0.19047619           ;-0.28571429           ;0.9761905             ;BRD                   ;HLA_Bronchi_A42_311   
-0.11904762           ;-0.23809524           ;1.0000000             ;COPD                  ;HLA_Bronchi_A42_311   
 0.09523810           ; 0.07142857           ;0.9523810             ;LUD                   ;HLA_Bronchi_A42_311   
