median.genes;median.umi;median.score_genetic;trait;dataset
-1.00000000     ;-1.0000000      ;1.0000000       ;AHD             ;w5_V10T03_302B1 
-0.50000000     ;-0.5000000      ;1.0000000       ;ALS             ;w5_V10T03_302B1 
-1.00000000     ;-1.0000000      ;1.0000000       ;MS              ;w5_V10T03_302B1 
-0.07142857     ; 0.0000000      ;0.9642857       ;AHD             ;w8_V10F24_107B1 
-0.14285714     ;-0.1071429      ;1.0000000       ;ALS             ;w8_V10F24_107B1 
 0.75000000     ; 0.7142857      ;0.9642857       ;MS              ;w8_V10F24_107B1 
-0.33333333     ;-0.3212121      ;1.0000000       ;AHD             ;w9_V10T03_288A1 
-0.33333333     ;-0.3212121      ;1.0000000       ;ALS             ;w9_V10T03_288A1 
-0.11515152     ;-0.2121212      ;0.9878788       ;MS              ;w9_V10T03_288A1 
-0.20000000     ;-0.2090909      ;0.9909091       ;AHD             ;w12_V10T03_290D1
-0.23636364     ;-0.2454545      ;1.0000000       ;ALS             ;w12_V10T03_290D1
-0.01818182     ; 0.0000000      ;0.9636364       ;MS              ;w12_V10T03_290D1
