Enrichment;Trait;Structures;Gene set;Comment
n.s. genetic all;CD;7;Genetic_all;adult_RRST_349_B1
significant genetic all;CD;1;Genetic_all;adult_RRST_349_B1
n.s. genetic top;CD;7;Genetic_top;adult_RRST_349_B1
significant genetic top;CD;1;Genetic_top;adult_RRST_349_B1
n.s. drugs all;CD;8;Drugs_all;adult_RRST_349_B1
significant drugs all;CD;0;Drugs_all;adult_RRST_349_B1
n.s. genetic all;IBD;8;Genetic_all;adult_RRST_349_B1
significant genetic all;IBD;0;Genetic_all;adult_RRST_349_B1
n.s. genetic top;IBD;7;Genetic_top;adult_RRST_349_B1
significant genetic top;IBD;1;Genetic_top;adult_RRST_349_B1
n.s. drugs all;IBD;8;Drugs_all;adult_RRST_349_B1
significant drugs all;IBD;0;Drugs_all;adult_RRST_349_B1
n.s. genetic all;LID;8;Genetic_all;adult_RRST_349_B1
significant genetic all;LID;0;Genetic_all;adult_RRST_349_B1
n.s. genetic top;LID;8;Genetic_top;adult_RRST_349_B1
significant genetic top;LID;0;Genetic_top;adult_RRST_349_B1
n.s. drugs all;LID;8;Drugs_all;adult_RRST_349_B1
significant drugs all;LID;0;Drugs_all;adult_RRST_349_B1
n.s. genetic all;UC;8;Genetic_all;adult_RRST_349_B1
significant genetic all;UC;0;Genetic_all;adult_RRST_349_B1
n.s. genetic top;UC;6;Genetic_top;adult_RRST_349_B1
significant genetic top;UC;2;Genetic_top;adult_RRST_349_B1
n.s. drugs all;UC;8;Drugs_all;adult_RRST_349_B1
significant drugs all;UC;0;Drugs_all;adult_RRST_349_B1
