"dataset";"trait";"gene_list";"cluster";"median.genes";"median.umi";"median.score_genetic";"neg.log10.p.val_genetic";"neg.log10.p.val.adj_genetic";"median.score_drugs";"neg.log10.p.val_drugs";"neg.log10.p.val.adj_drugs"
"brain_mouse_10X";"AST";"all_genes";"cluster_0";6595.5;38043.5;-0.0388122295166732;0.014572043987275;0;"-0.0190398318016896";"0.142469723129367";"0"
"brain_mouse_10X";"AST";"all_genes";"cluster_1";5165.5;23182;-0.0366852288844407;0.0214064788923883;0;"0.0365313071226129";"1.00091288598949";"0"
"brain_mouse_10X";"AST";"all_genes";"cluster_2";4805;21052.5;-0.0221117668445294;0.0784609868834463;0;"-0.0158341748350653";"0.178988672229975";"0"
"brain_mouse_10X";"AST";"all_genes";"cluster_3";5370;23638;-0.03069089409084;0.0389072098896374;0;"0.027613410340012";"0.738542654078583";"0"
"brain_mouse_10X";"AST";"all_genes";"cluster_4";5534;25287;-0.0336809581410688;0.0280721508771062;0;"0.000355435847434915";"0.346445045433573";"0"
"brain_mouse_10X";"AST";"all_genes";"cluster_5";6340;32458;-0.0412294256282283;0.0143475675870206;0;"0.00681504677631706";"0.448471453602609";"0"
"brain_mouse_10X";"AST";"all_genes";"cluster_6";4012;15712;-0.0355310182115405;0.0252554950633048;0;"0.0230148686642681";"0.733811730586969";"0"
"brain_mouse_10X";"AST";"all_genes";"cluster_7";6226;30340;-0.0374615209567504;0.0207227298948382;0;"0.0145179730804366";"0.566273593351997";"0"
"brain_mouse_10X";"AST";"all_genes";"cluster_8";6803;36674;-0.0430053952720424;0.011127906764176;0;"0.00541055608880936";"0.413231157833487";"0"
"brain_mouse_10X";"AST";"all_genes";"cluster_9";6377.5;31876;-0.0359921676741796;0.0248414650190103;0;"0.0199924470505511";"0.631942575567511";"0"
"brain_mouse_10X";"AST";"all_genes";"cluster_10";6103;31806;-0.0342006761707762;0.0288139800006215;0;"0.0215774069266528";"0.658411091498808";"0"
"brain_mouse_10X";"AST";"all_genes";"cluster_11";6988;41195;-0.0386848122699346;0.0175460580791502;0;"0.0254024846978758";"0.735934270971054";"0"
"brain_mouse_10X";"AST";"all_genes";"cluster_12";7771;56006;-0.0411161991860951;0.0122431415249902;0;"-0.0180442068971932";"0.157559002865293";"0"
"brain_mouse_10X";"AST";"all_genes";"cluster_13";6581.5;35309.5;-0.0413301254420018;0.0120645114013806;0;"-0.000717564437253682";"0.327299228970264";"0"
