Enrichment;Trait;Structures;Gene set;Comment
n.s. genetic all;ADHD;16;Genetic_all;Cell2location_Visium_mouse_brain_coronal_1
significant genetic all;ADHD;1;Genetic_all;Cell2location_Visium_mouse_brain_coronal_1
n.s. genetic top;ADHD;17;Genetic_top;Cell2location_Visium_mouse_brain_coronal_1
significant genetic top;ADHD;0;Genetic_top;Cell2location_Visium_mouse_brain_coronal_1
n.s. drugs all;ADHD;17;Drugs_all;Cell2location_Visium_mouse_brain_coronal_1
significant drugs all;ADHD;0;Drugs_all;Cell2location_Visium_mouse_brain_coronal_1
n.s. genetic all;AHD;17;Genetic_all;Cell2location_Visium_mouse_brain_coronal_1
significant genetic all;AHD;0;Genetic_all;Cell2location_Visium_mouse_brain_coronal_1
n.s. genetic top;AHD;17;Genetic_top;Cell2location_Visium_mouse_brain_coronal_1
significant genetic top;AHD;0;Genetic_top;Cell2location_Visium_mouse_brain_coronal_1
n.s. drugs all;AHD;17;Drugs_all;Cell2location_Visium_mouse_brain_coronal_1
significant drugs all;AHD;0;Drugs_all;Cell2location_Visium_mouse_brain_coronal_1
n.s. genetic all;ALS;17;Genetic_all;Cell2location_Visium_mouse_brain_coronal_1
significant genetic all;ALS;0;Genetic_all;Cell2location_Visium_mouse_brain_coronal_1
n.s. genetic top;ALS;16;Genetic_top;Cell2location_Visium_mouse_brain_coronal_1
significant genetic top;ALS;1;Genetic_top;Cell2location_Visium_mouse_brain_coronal_1
n.s. drugs all;ALS;17;Drugs_all;Cell2location_Visium_mouse_brain_coronal_1
significant drugs all;ALS;0;Drugs_all;Cell2location_Visium_mouse_brain_coronal_1
n.s. genetic all;ALZ;17;Genetic_all;Cell2location_Visium_mouse_brain_coronal_1
significant genetic all;ALZ;0;Genetic_all;Cell2location_Visium_mouse_brain_coronal_1
n.s. genetic top;ALZ;12;Genetic_top;Cell2location_Visium_mouse_brain_coronal_1
significant genetic top;ALZ;5;Genetic_top;Cell2location_Visium_mouse_brain_coronal_1
n.s. drugs all;ALZ;17;Drugs_all;Cell2location_Visium_mouse_brain_coronal_1
significant drugs all;ALZ;0;Drugs_all;Cell2location_Visium_mouse_brain_coronal_1
n.s. genetic all;ASD;2;Genetic_all;Cell2location_Visium_mouse_brain_coronal_1
significant genetic all;ASD;15;Genetic_all;Cell2location_Visium_mouse_brain_coronal_1
n.s. genetic top;ASD;16;Genetic_top;Cell2location_Visium_mouse_brain_coronal_1
significant genetic top;ASD;1;Genetic_top;Cell2location_Visium_mouse_brain_coronal_1
n.s. drugs all;ASD;17;Drugs_all;Cell2location_Visium_mouse_brain_coronal_1
significant drugs all;ASD;0;Drugs_all;Cell2location_Visium_mouse_brain_coronal_1
n.s. genetic all;BIP;17;Genetic_all;Cell2location_Visium_mouse_brain_coronal_1
significant genetic all;BIP;0;Genetic_all;Cell2location_Visium_mouse_brain_coronal_1
n.s. genetic top;BIP;17;Genetic_top;Cell2location_Visium_mouse_brain_coronal_1
significant genetic top;BIP;0;Genetic_top;Cell2location_Visium_mouse_brain_coronal_1
n.s. drugs all;BIP;0;Drugs_all;Cell2location_Visium_mouse_brain_coronal_1
significant drugs all;BIP;17;Drugs_all;Cell2location_Visium_mouse_brain_coronal_1
n.s. genetic all;EPI;0;Genetic_all;Cell2location_Visium_mouse_brain_coronal_1
significant genetic all;EPI;17;Genetic_all;Cell2location_Visium_mouse_brain_coronal_1
n.s. genetic top;EPI;0;Genetic_top;Cell2location_Visium_mouse_brain_coronal_1
significant genetic top;EPI;17;Genetic_top;Cell2location_Visium_mouse_brain_coronal_1
n.s. drugs all;EPI;0;Drugs_all;Cell2location_Visium_mouse_brain_coronal_1
significant drugs all;EPI;17;Drugs_all;Cell2location_Visium_mouse_brain_coronal_1
n.s. genetic all;INS;17;Genetic_all;Cell2location_Visium_mouse_brain_coronal_1
significant genetic all;INS;0;Genetic_all;Cell2location_Visium_mouse_brain_coronal_1
n.s. genetic top;INS;17;Genetic_top;Cell2location_Visium_mouse_brain_coronal_1
significant genetic top;INS;0;Genetic_top;Cell2location_Visium_mouse_brain_coronal_1
n.s. drugs all;INS;17;Drugs_all;Cell2location_Visium_mouse_brain_coronal_1
significant drugs all;INS;0;Drugs_all;Cell2location_Visium_mouse_brain_coronal_1
n.s. genetic all;MDD;17;Genetic_all;Cell2location_Visium_mouse_brain_coronal_1
significant genetic all;MDD;0;Genetic_all;Cell2location_Visium_mouse_brain_coronal_1
n.s. genetic top;MDD;17;Genetic_top;Cell2location_Visium_mouse_brain_coronal_1
significant genetic top;MDD;0;Genetic_top;Cell2location_Visium_mouse_brain_coronal_1
n.s. drugs all;MDD;0;Drugs_all;Cell2location_Visium_mouse_brain_coronal_1
significant drugs all;MDD;17;Drugs_all;Cell2location_Visium_mouse_brain_coronal_1
n.s. genetic all;MS;17;Genetic_all;Cell2location_Visium_mouse_brain_coronal_1
significant genetic all;MS;0;Genetic_all;Cell2location_Visium_mouse_brain_coronal_1
N/A;MS;17;Genetic_top;Cell2location_Visium_mouse_brain_coronal_1
n.s. drugs all;MS;0;Drugs_all;Cell2location_Visium_mouse_brain_coronal_1
significant drugs all;MS;17;Drugs_all;Cell2location_Visium_mouse_brain_coronal_1
n.s. genetic all;PAR;0;Genetic_all;Cell2location_Visium_mouse_brain_coronal_1
significant genetic all;PAR;17;Genetic_all;Cell2location_Visium_mouse_brain_coronal_1
n.s. genetic top;PAR;0;Genetic_top;Cell2location_Visium_mouse_brain_coronal_1
significant genetic top;PAR;17;Genetic_top;Cell2location_Visium_mouse_brain_coronal_1
n.s. drugs all;PAR;17;Drugs_all;Cell2location_Visium_mouse_brain_coronal_1
significant drugs all;PAR;0;Drugs_all;Cell2location_Visium_mouse_brain_coronal_1
n.s. genetic all;SCZ;15;Genetic_all;Cell2location_Visium_mouse_brain_coronal_1
significant genetic all;SCZ;2;Genetic_all;Cell2location_Visium_mouse_brain_coronal_1
n.s. genetic top;SCZ;16;Genetic_top;Cell2location_Visium_mouse_brain_coronal_1
significant genetic top;SCZ;1;Genetic_top;Cell2location_Visium_mouse_brain_coronal_1
n.s. drugs all;SCZ;0;Drugs_all;Cell2location_Visium_mouse_brain_coronal_1
significant drugs all;SCZ;17;Drugs_all;Cell2location_Visium_mouse_brain_coronal_1
