Enrichment;Trait;Structures;Gene set;Comment
n.s. genetic all;AST;8;Genetic_all;HLA_Bronchi_A42
significant genetic all;AST;0;Genetic_all;HLA_Bronchi_A42
N/A;AST;8;Genetic_top;HLA_Bronchi_A42
n.s. drugs all;AST;8;Drugs_all;HLA_Bronchi_A42
significant drugs all;AST;0;Drugs_all;HLA_Bronchi_A42
n.s. genetic all;BRD;8;Genetic_all;HLA_Bronchi_A42
significant genetic all;BRD;0;Genetic_all;HLA_Bronchi_A42
N/A;BRD;8;Genetic_top;HLA_Bronchi_A42
n.s. drugs all;BRD;8;Drugs_all;HLA_Bronchi_A42
significant drugs all;BRD;0;Drugs_all;HLA_Bronchi_A42
n.s. genetic all;COPD;8;Genetic_all;HLA_Bronchi_A42
significant genetic all;COPD;0;Genetic_all;HLA_Bronchi_A42
n.s. genetic top;COPD;8;Genetic_top;HLA_Bronchi_A42
significant genetic top;COPD;0;Genetic_top;HLA_Bronchi_A42
n.s. drugs all;COPD;0;Drugs_all;HLA_Bronchi_A42
significant drugs all;COPD;8;Drugs_all;HLA_Bronchi_A42
n.s. genetic all;LUD;8;Genetic_all;HLA_Bronchi_A42
significant genetic all;LUD;0;Genetic_all;HLA_Bronchi_A42
n.s. genetic top;LUD;8;Genetic_top;HLA_Bronchi_A42
significant genetic top;LUD;0;Genetic_top;HLA_Bronchi_A42
n.s. drugs all;LUD;3;Drugs_all;HLA_Bronchi_A42
significant drugs all;LUD;5;Drugs_all;HLA_Bronchi_A42
