Enrichment;Trait;Structures;Gene set;Comment
n.s. genetic all;ADHD;7;Genetic_all;DLPFC_151509
significant genetic all;ADHD;0;Genetic_all;DLPFC_151509
N/A;ADHD;7;Genetic_top;DLPFC_151509
n.s. drugs all;ADHD;7;Drugs_all;DLPFC_151509
significant drugs all;ADHD;0;Drugs_all;DLPFC_151509
n.s. genetic all;AHD;7;Genetic_all;DLPFC_151509
significant genetic all;AHD;0;Genetic_all;DLPFC_151509
N/A;AHD;7;Genetic_top;DLPFC_151509
n.s. drugs all;AHD;7;Drugs_all;DLPFC_151509
significant drugs all;AHD;0;Drugs_all;DLPFC_151509
n.s. genetic all;ALS;7;Genetic_all;DLPFC_151509
significant genetic all;ALS;0;Genetic_all;DLPFC_151509
N/A;ALS;7;Genetic_top;DLPFC_151509
n.s. drugs all;ALS;7;Drugs_all;DLPFC_151509
significant drugs all;ALS;0;Drugs_all;DLPFC_151509
n.s. genetic all;ALZ;7;Genetic_all;DLPFC_151509
significant genetic all;ALZ;0;Genetic_all;DLPFC_151509
n.s. genetic top;ALZ;4;Genetic_top;DLPFC_151509
significant genetic top;ALZ;3;Genetic_top;DLPFC_151509
n.s. drugs all;ALZ;7;Drugs_all;DLPFC_151509
significant drugs all;ALZ;0;Drugs_all;DLPFC_151509
n.s. genetic all;ASD;7;Genetic_all;DLPFC_151509
significant genetic all;ASD;0;Genetic_all;DLPFC_151509
N/A;ASD;7;Genetic_top;DLPFC_151509
n.s. drugs all;ASD;7;Drugs_all;DLPFC_151509
significant drugs all;ASD;0;Drugs_all;DLPFC_151509
n.s. genetic all;BIP;7;Genetic_all;DLPFC_151509
significant genetic all;BIP;0;Genetic_all;DLPFC_151509
N/A;BIP;7;Genetic_top;DLPFC_151509
n.s. drugs all;BIP;0;Drugs_all;DLPFC_151509
significant drugs all;BIP;7;Drugs_all;DLPFC_151509
n.s. genetic all;EPI;0;Genetic_all;DLPFC_151509
significant genetic all;EPI;7;Genetic_all;DLPFC_151509
n.s. genetic top;EPI;0;Genetic_top;DLPFC_151509
significant genetic top;EPI;7;Genetic_top;DLPFC_151509
n.s. drugs all;EPI;0;Drugs_all;DLPFC_151509
significant drugs all;EPI;7;Drugs_all;DLPFC_151509
n.s. genetic all;INS;7;Genetic_all;DLPFC_151509
significant genetic all;INS;0;Genetic_all;DLPFC_151509
n.s. genetic top;INS;7;Genetic_top;DLPFC_151509
significant genetic top;INS;0;Genetic_top;DLPFC_151509
n.s. drugs all;INS;7;Drugs_all;DLPFC_151509
significant drugs all;INS;0;Drugs_all;DLPFC_151509
n.s. genetic all;MDD;7;Genetic_all;DLPFC_151509
significant genetic all;MDD;0;Genetic_all;DLPFC_151509
N/A;MDD;7;Genetic_top;DLPFC_151509
n.s. drugs all;MDD;0;Drugs_all;DLPFC_151509
significant drugs all;MDD;7;Drugs_all;DLPFC_151509
n.s. genetic all;MS;7;Genetic_all;DLPFC_151509
significant genetic all;MS;0;Genetic_all;DLPFC_151509
N/A;MS;7;Genetic_top;DLPFC_151509
n.s. drugs all;MS;0;Drugs_all;DLPFC_151509
significant drugs all;MS;7;Drugs_all;DLPFC_151509
n.s. genetic all;PAR;0;Genetic_all;DLPFC_151509
significant genetic all;PAR;7;Genetic_all;DLPFC_151509
n.s. genetic top;PAR;0;Genetic_top;DLPFC_151509
significant genetic top;PAR;7;Genetic_top;DLPFC_151509
n.s. drugs all;PAR;7;Drugs_all;DLPFC_151509
significant drugs all;PAR;0;Drugs_all;DLPFC_151509
n.s. genetic all;SCZ;7;Genetic_all;DLPFC_151509
significant genetic all;SCZ;0;Genetic_all;DLPFC_151509
n.s. genetic top;SCZ;7;Genetic_top;DLPFC_151509
significant genetic top;SCZ;0;Genetic_top;DLPFC_151509
n.s. drugs all;SCZ;0;Drugs_all;DLPFC_151509
significant drugs all;SCZ;7;Drugs_all;DLPFC_151509
