Enrichment;Trait;Structures;Gene set;Comment
n.s. genetic all;CAD;0;Genetic_all;human_JBO0022
significant genetic all;CAD;4;Genetic_all;human_JBO0022
n.s. genetic top;CAD;0;Genetic_top;human_JBO0022
significant genetic top;CAD;4;Genetic_top;human_JBO0022
n.s. drugs all;CAD;0;Drugs_all;human_JBO0022
significant drugs all;CAD;4;Drugs_all;human_JBO0022
n.s. genetic all;LDL;0;Genetic_all;human_JBO0022
significant genetic all;LDL;4;Genetic_all;human_JBO0022
n.s. genetic top;LDL;0;Genetic_top;human_JBO0022
significant genetic top;LDL;4;Genetic_top;human_JBO0022
n.s. drugs all;LDL;0;Drugs_all;human_JBO0022
n.s. genetic all;MI;1;Genetic_all;human_JBO0022
significant genetic all;MI;3;Genetic_all;human_JBO0022
n.s. genetic top;MI;0;Genetic_top;human_JBO0022
significant genetic top;MI;4;Genetic_top;human_JBO0022
n.s. drugs all;MI;4;Drugs_all;human_JBO0022
significant drugs all;MI;0;Drugs_all;human_JBO0022
n.s. genetic all;CHOL;0;Genetic_all;human_JBO0022
significant genetic all;CHOL;4;Genetic_all;human_JBO0022
n.s. genetic top;CHOL;0;Genetic_top;human_JBO0022
significant genetic top;CHOL;4;Genetic_top;human_JBO0022
n.s. drugs all;CHOL;0;Drugs_all;human_JBO0022
n.s. genetic all;CIRR;4;Genetic_all;human_JBO0022
significant genetic all;CIRR;0;Genetic_all;human_JBO0022
N/A;CIRR;4;Genetic_top;human_JBO0022
n.s. drugs all;CIRR;4;Drugs_all;human_JBO0022
significant drugs all;CIRR;0;Drugs_all;human_JBO0022
n.s. genetic all;LD;4;Genetic_all;human_JBO0022
significant genetic all;LD;0;Genetic_all;human_JBO0022
n.s. genetic top;LD;4;Genetic_top;human_JBO0022
significant genetic top;LD;0;Genetic_top;human_JBO0022
n.s. drugs all;LD;0;Drugs_all;human_JBO0022
significant drugs all;LD;4;Drugs_all;human_JBO0022
n.s. genetic all;NAFLD;0;Genetic_all;human_JBO0022
significant genetic all;NAFLD;4;Genetic_all;human_JBO0022
n.s. genetic top;NAFLD;1;Genetic_top;human_JBO0022
significant genetic top;NAFLD;3;Genetic_top;human_JBO0022
n.s. drugs all;NAFLD;0;Drugs_all;human_JBO0022
significant drugs all;NAFLD;4;Drugs_all;human_JBO0022
