Enrichment;Trait;Structures;Gene set;Comment
n.s. genetic all;CKD;11;Genetic_all;mouse_JCI
significant genetic all;CKD;3;Genetic_all;mouse_JCI
n.s. genetic top;CKD;13;Genetic_top;mouse_JCI
significant genetic top;CKD;1;Genetic_top;mouse_JCI
n.s. drugs all;CKD;0;Drugs_all;mouse_JCI
significant drugs all;CKD;14;Drugs_all;mouse_JCI
n.s. genetic all;IKD;11;Genetic_all;mouse_JCI
significant genetic all;IKD;3;Genetic_all;mouse_JCI
n.s. genetic top;IKD;14;Genetic_top;mouse_JCI
significant genetic top;IKD;0;Genetic_top;mouse_JCI
n.s. drugs all;IKD;0;Drugs_all;mouse_JCI
significant drugs all;IKD;14;Drugs_all;mouse_JCI
