Enrichment;Trait;Structures;Gene set;Comment
n.s. genetic all;CD;11;Genetic_all;mouse_healing_ctrl
significant genetic all;CD;1;Genetic_all;mouse_healing_ctrl
n.s. genetic top;CD;12;Genetic_top;mouse_healing_ctrl
significant genetic top;CD;0;Genetic_top;mouse_healing_ctrl
n.s. drugs all;CD;12;Drugs_all;mouse_healing_ctrl
significant drugs all;CD;0;Drugs_all;mouse_healing_ctrl
n.s. genetic all;IBD;12;Genetic_all;mouse_healing_ctrl
significant genetic all;IBD;0;Genetic_all;mouse_healing_ctrl
n.s. genetic top;IBD;12;Genetic_top;mouse_healing_ctrl
significant genetic top;IBD;0;Genetic_top;mouse_healing_ctrl
n.s. drugs all;IBD;1;Drugs_all;mouse_healing_ctrl
significant drugs all;IBD;11;Drugs_all;mouse_healing_ctrl
n.s. genetic all;LID;11;Genetic_all;mouse_healing_ctrl
significant genetic all;LID;1;Genetic_all;mouse_healing_ctrl
n.s. genetic top;LID;12;Genetic_top;mouse_healing_ctrl
significant genetic top;LID;0;Genetic_top;mouse_healing_ctrl
n.s. drugs all;LID;0;Drugs_all;mouse_healing_ctrl
significant drugs all;LID;12;Drugs_all;mouse_healing_ctrl
n.s. genetic all;UC;12;Genetic_all;mouse_healing_ctrl
significant genetic all;UC;0;Genetic_all;mouse_healing_ctrl
n.s. genetic top;UC;12;Genetic_top;mouse_healing_ctrl
significant genetic top;UC;0;Genetic_top;mouse_healing_ctrl
n.s. drugs all;UC;0;Drugs_all;mouse_healing_ctrl
significant drugs all;UC;12;Drugs_all;mouse_healing_ctrl
