CellID;neg.log10.p.val.g;neg.log10.p.val.adj.g;neg.log10.p.val.d;neg.log10.p.val.adj.d
11x13_1   ;0.11706377;0.0000000 ;4.000043  ;3.221892  
11x14_1   ;0.32170718;0.0000000 ;4.000043  ;3.221892  
11x15_1   ;0.34203203;0.0000000 ;4.000043  ;3.221892  
11x16_1   ;0.32170718;0.0000000 ;4.000043  ;3.221892  
11x17_1   ;0.34203203;0.0000000 ;4.000043  ;3.221892  
11x18_1   ;0.34203203;0.0000000 ;4.000043  ;3.221892  
11x19_1   ;0.34203203;0.0000000 ;4.000043  ;3.221892  
11x22_1   ;0.11706377;0.0000000 ;4.000043  ;3.221892  
12x11_1   ;0.11706377;0.0000000 ;4.000043  ;3.221892  
12x12_1   ;0.34203203;0.0000000 ;4.000043  ;3.221892  
12x13_1   ;0.23311033;0.0000000 ;4.000043  ;3.221892  
12x14_1   ;0.23311033;0.0000000 ;4.000043  ;3.221892  
12x15_1   ;0.23311033;0.0000000 ;4.000043  ;3.221892  
12x16_1   ;0.23311033;0.0000000 ;4.000043  ;3.221892  
12x17_1   ;0.23311033;0.0000000 ;4.000043  ;3.221892  
12x18_1   ;0.23311033;0.0000000 ;4.000043  ;3.221892  
12x19_1   ;0.23311033;0.0000000 ;4.000043  ;3.221892  
12x20_1   ;0.34203203;0.0000000 ;4.000043  ;3.221892  
12x22_1   ;0.11706377;0.0000000 ;4.000043  ;3.221892  
12x23_1   ;0.11706377;0.0000000 ;4.000043  ;3.221892  
12x24_1   ;0.11706377;0.0000000 ;4.000043  ;3.221892  
13x10_1   ;0.34203203;0.0000000 ;4.000043  ;3.221892  
13x11_1   ;0.23311033;0.0000000 ;4.000043  ;3.221892  
13x12_1   ;0.34203203;0.0000000 ;4.000043  ;3.221892  
13x13_1   ;0.23311033;0.0000000 ;4.000043  ;3.221892  
13x14_1   ;0.23311033;0.0000000 ;4.000043  ;3.221892  
13x15_1   ;0.23311033;0.0000000 ;4.000043  ;3.221892  
13x16_1   ;0.23311033;0.0000000 ;4.000043  ;3.221892  
13x17_1   ;0.23311033;0.0000000 ;4.000043  ;3.221892  
13x18_1   ;0.23311033;0.0000000 ;4.000043  ;3.221892  
13x19_1   ;0.23311033;0.0000000 ;4.000043  ;3.221892  
13x20_1   ;0.32170718;0.0000000 ;4.000043  ;3.221892  
13x22_1   ;0.01121702;0.0000000 ;4.000043  ;3.221892  
13x23_1   ;0.11706377;0.0000000 ;4.000043  ;3.221892  
13x24_1   ;0.11706377;0.0000000 ;4.000043  ;3.221892  
13x25_1   ;0.11706377;0.0000000 ;4.000043  ;3.221892  
14x10_1   ;0.11706377;0.0000000 ;4.000043  ;3.221892  
14x11_1   ;0.23311033;0.0000000 ;4.000043  ;3.221892  
14x12_1   ;0.23311033;0.0000000 ;4.000043  ;3.221892  
14x13_1   ;0.23311033;0.0000000 ;4.000043  ;3.221892  
14x14_1   ;0.23311033;0.0000000 ;4.000043  ;3.221892  
14x15_1   ;0.01121702;0.0000000 ;4.000043  ;3.221892  
14x16_1   ;0.01121702;0.0000000 ;4.000043  ;3.221892  
14x17_1   ;0.01121702;0.0000000 ;4.000043  ;3.221892  
14x18_1   ;0.01121702;0.0000000 ;4.000043  ;3.221892  
14x19_1   ;0.23311033;0.0000000 ;4.000043  ;3.221892  
14x20_1   ;0.23311033;0.0000000 ;4.000043  ;3.221892  
14x21_1   ;0.32170718;0.0000000 ;4.000043  ;3.221892  
14x22_1   ;0.11706377;0.0000000 ;4.000043  ;3.221892  
14x23_1   ;0.11706377;0.0000000 ;4.000043  ;3.221892  
14x24_1   ;0.11706377;0.0000000 ;4.000043  ;3.221892  
14x25_1   ;0.11706377;0.0000000 ;4.000043  ;3.221892  
14x26_1   ;0.11706377;0.0000000 ;4.000043  ;3.221892  
15x10_1   ;0.34203203;0.0000000 ;4.000043  ;3.221892  
15x11_1   ;0.23311033;0.0000000 ;4.000043  ;3.221892  
15x12_1   ;0.23311033;0.0000000 ;4.000043  ;3.221892  
15x13_1   ;0.23311033;0.0000000 ;4.000043  ;3.221892  
15x14_1   ;0.23311033;0.0000000 ;4.000043  ;3.221892  
15x15_1   ;0.23311033;0.0000000 ;4.000043  ;3.221892  
15x16_1   ;0.01121702;0.0000000 ;4.000043  ;3.221892  
15x17_1   ;0.01121702;0.0000000 ;4.000043  ;3.221892  
15x18_1   ;0.01121702;0.0000000 ;4.000043  ;3.221892  
15x19_1   ;0.01121702;0.0000000 ;4.000043  ;3.221892  
15x20_1   ;0.23311033;0.0000000 ;4.000043  ;3.221892  
15x21_1   ;0.32170718;0.0000000 ;4.000043  ;3.221892  
15x23_1   ;0.11706377;0.0000000 ;4.000043  ;3.221892  
15x24_1   ;0.11706377;0.0000000 ;4.000043  ;3.221892  
15x25_1   ;0.11706377;0.0000000 ;4.000043  ;3.221892  
15x26_1   ;0.11706377;0.0000000 ;4.000043  ;3.221892  
16x9_1    ;0.34203203;0.0000000 ;4.000043  ;3.221892  
16x10_1   ;0.32170718;0.0000000 ;4.000043  ;3.221892  
16x11_1   ;0.34203203;0.0000000 ;4.000043  ;3.221892  
