CellID;neg.log10.p.val.g;neg.log10.p.val.adj.g
7x11_1   ;0.1226145;0        
8x11_1   ;0.1226145;0        
8x12_1   ;0.1226145;0        
8x13_1   ;0.1226145;0        
8x14_1   ;0.1226145;0        
9x7_1    ;0.1226145;0        
9x8_1    ;0.1226145;0        
9x9_1    ;0.1226145;0        
9x10_1   ;0.1226145;0        
9x11_1   ;0.1226145;0        
9x12_1   ;0.1226145;0        
9x13_1   ;0.1226145;0        
9x14_1   ;0.1226145;0        
9x15_1   ;0.1226145;0        
10x6_1   ;0.1226145;0        
10x7_1   ;0.1226145;0        
10x8_1   ;0.1226145;0        
10x9_1   ;0.1226145;0        
10x10_1  ;0.1226145;0        
10x11_1  ;0.1226145;0        
10x12_1  ;0.1226145;0        
10x13_1  ;0.1226145;0        
10x14_1  ;0.1226145;0        
10x15_1  ;0.1226145;0        
10x16_1  ;0.1226145;0        
11x6_1   ;0.1226145;0        
11x7_1   ;0.1226145;0        
11x8_1   ;0.1226145;0        
11x9_1   ;0.1226145;0        
11x10_1  ;0.1226145;0        
11x11_1  ;0.1226145;0        
11x12_1  ;0.1226145;0        
11x13_1  ;0.1226145;0        
11x14_1  ;0.1226145;0        
11x15_1  ;0.1226145;0        
11x16_1  ;0.1226145;0        
11x17_1  ;0.1226145;0        
11x18_1  ;0.1226145;0        
12x4_1   ;0.1226145;0        
12x5_1   ;0.1226145;0        
12x6_1   ;0.1226145;0        
12x7_1   ;0.1757874;0        
12x8_1   ;0.1226145;0        
12x9_1   ;0.1757874;0        
12x10_1  ;0.1757874;0        
12x11_1  ;0.1757874;0        
12x12_1  ;0.1757874;0        
12x13_1  ;0.1226145;0        
12x14_1  ;0.1226145;0        
12x15_1  ;0.1226145;0        
12x16_1  ;0.1226145;0        
12x17_1  ;0.1226145;0        
12x18_1  ;0.1226145;0        
12x19_1  ;0.2291914;0        
12x24_1  ;0.2291914;0        
13x4_1   ;0.1226145;0        
13x5_1   ;0.1226145;0        
13x6_1   ;0.1226145;0        
13x7_1   ;0.1226145;0        
13x8_1   ;0.1226145;0        
13x9_1   ;0.1226145;0        
13x10_1  ;0.1226145;0        
13x11_1  ;0.1226145;0        
13x12_1  ;0.1226145;0        
13x13_1  ;0.1226145;0        
13x14_1  ;0.1226145;0        
13x15_1  ;0.1226145;0        
13x16_1  ;0.1226145;0        
13x17_1  ;0.1226145;0        
13x18_1  ;0.1757874;0        
13x19_1  ;0.2291914;0        
13x20_1  ;0.2291914;0        
13x23_1  ;0.2291914;0        
13x24_1  ;0.2192223;0        
13x25_1  ;0.2291914;0        
14x5_1   ;0.1226145;0        
14x6_1   ;0.1226145;0        
14x7_1   ;0.1226145;0        
14x8_1   ;0.1226145;0        
14x9_1   ;0.1226145;0        
14x10_1  ;0.1226145;0        
14x11_1  ;0.1757874;0        
14x12_1  ;0.1226145;0        
14x13_1  ;0.1226145;0        
14x14_1  ;0.1757874;0        
14x15_1  ;0.1226145;0        
14x16_1  ;0.1226145;0        
14x17_1  ;0.1226145;0        
14x18_1  ;0.1226145;0        
14x19_1  ;0.1226145;0        
14x20_1  ;0.2192223;0        
14x23_1  ;0.2291914;0        
14x24_1  ;0.2291914;0        
14x25_1  ;0.2291914;0        
15x5_1   ;0.1226145;0        
15x6_1   ;0.1226145;0        
15x7_1   ;0.1757874;0        
