"hgnc_symbol"	"h_entrez_id"	"mgi_symbol"	"mgi_accession_id"	"ensembl_gene_id"
"A1BG"	1	"A1bg"	"MGI:2152878"	"ENSG00000121410"
"A1CF"	29974	"A1cf"	"MGI:1917115"	"ENSG00000148584"
"A2M"	2	"A2m"	"MGI:2449119"	"ENSG00000175899"
"A3GALT2"	127550	"A3galt2"	"MGI:2685279"	"ENSG00000184389"
"A4GALT"	53947	"A4galt"	"MGI:3512453"	"ENSG00000128274"
"A4GNT"	51146	"A4gnt"	"MGI:2143261"	"ENSG00000118017"
"AAAS"	8086	"Aaas"	"MGI:2443767"	"ENSG00000094914"
"AACS"	65985	"Aacs"	"MGI:1926144"	"ENSG00000081760"
"AADAC"	13	"Aadac"	"MGI:1915008"	"ENSG00000114771"
"AADACL2"	344752	"Aadacl2"	"MGI:3646333"	"ENSG00000261846"
"AADACL2"	344752	"Aadacl2"	"MGI:3646333"	"ENSG00000197953"
"AADACL3"	126767	"Aadacl3"	"MGI:2685281"	"ENSG00000188984"
"AADACL4"	343066	"Aadacl4"	"MGI:3650257"	"ENSG00000204518"
"AADACL4"	343066	"Aadacl4fm1"	"MGI:2685880"	"ENSG00000204518"
"AADACL4"	343066	"Aadacl4fm2"	"MGI:3652194"	"ENSG00000204518"
"AADACL4"	343066	"AAdacl4fm3"	"MGI:3650721"	"ENSG00000204518"
"AADACL4"	343066	"Aadacl4fm4"	"MGI:2685282"	"ENSG00000204518"
"AADACL4"	343066	"Aadacl4fm5"	"MGI:2685284"	"ENSG00000204518"
"AADAT"	51166	"Aadat"	"MGI:1345167"	"ENSG00000109576"
"AAGAB"	79719	"Aagab"	"MGI:1914189"	"ENSG00000103591"
"AAK1"	22848	"Aak1"	"MGI:1098687"	"ENSG00000115977"
"AAMDC"	28971	"Aamdc"	"MGI:1913523"	"ENSG00000087884"
"AAMP"	14	"Aamp"	"MGI:107809"	"ENSG00000127837"
"AANAT"	15	"Aanat"	"MGI:1328365"	"ENSG00000129673"
"AAR2"	25980	"Aar2"	"MGI:1915545"	"ENSG00000131043"
"AARD"	441376	"Aard"	"MGI:2181621"	"ENSG00000205002"
"AARS1"	16	"Aars"	"MGI:2384560"	"ENSG00000090861"
"AARS2"	57505	"Aars2"	"MGI:2681839"	"ENSG00000124608"
"AARSD1"	80755	"Aarsd1"	"MGI:1916934"	"ENSG00000266967"
"AASDH"	132949	"Aasdh"	"MGI:2442517"	"ENSG00000157426"
"AASDHPPT"	60496	"Aasdhppt"	"MGI:1914868"	"ENSG00000149313"
"AASS"	10157	"Aass"	"MGI:1353573"	"ENSG00000008311"
"AATF"	26574	"Aatf"	"MGI:1929608"	"ENSG00000276072"
